                                             name                                first_name              last_name
                       Frederik Kobberup Andersen                         Frederik Kobberup               Andersen
                                  Kara Lynn Joyce                                 Kara Lynn                  Joyce
                                   Jorge del Mazo                                 Jorge del                   Mazo
                                    Zoe de Toledo                                    Zoe de                 Toledo
                             Jo Ann Terry-Grissom                                    Jo Ann          Terry-Grissom
                                 María José Pérez                                María José                  Pérez
                                  Juan Ramón Jara                                Juan Ramón                   Jara
                                Stein Henrik Tuff                              Stein Henrik                   Tuff
                             Pier Duilio Puccetti                               Pier Duilio               Puccetti
                               Abubaker Ali Kamal                              Abubaker Ali                  Kamal
                                 Ahmed Jihad Chit                               Ahmed Jihad                   Chit
                         Argentino Molinuevo, Jr.                      Argentino Molinuevo,                    Jr.
                                Sugar Ray Leonard                                 Sugar Ray                Leonard
                                 Maureen de Lange                                Maureen de                  Lange
                               Michael V. Knudsen                                Michael V.                Knudsen
                                             Íris                                      None                   Íris
                                      Cai Xiao Li                                  Cai Xiao                     Li
                              Cockie van der Elst                            Cockie van der                   Elst
                Louis, Comte du Douet de Graville                  Louis, Comte du Douet de               Graville
                                             Maik                                      None                   Maik
                                            Dimas                                      None                  Dimas
                                  Julio de Solaun                                  Julio de                 Solaun
                      Georges Parfait Mbida Messi                     Georges Parfait Mbida                  Messi
                                 Ali Ben Maghenia                                   Ali Ben               Maghenia
                     Adolf van der Voort van Zijp                   Adolf van der Voort van                   Zijp
                            Abdou Ibrahim Youssef                             Abdou Ibrahim                Youssef
                              Charles Van Der Byl                           Charles Van Der                    Byl
                              Cisiane Dutra Lopes                             Cisiane Dutra                  Lopes
                             Jean-Pierre De Petro                            Jean-Pierre De                  Petro
                                Maurice De Groote                                Maurice De                 Groote
                                Conrad Blair Chin                              Conrad Blair                   Chin
                         Musaeb Abdulrahman Balla                        Musaeb Abdulrahman                  Balla
                                  Luiz de Freitas                                   Luiz de                Freitas
                                         Loveland                                      None               Loveland
                                  Daniela Del Din                               Daniela Del                    Din
                                    Drue Le Guier                                   Drue Le                  Guier
                               Shichiza Emon Kato                             Shichiza Emon                   Kato
                               Victor de Carvalho                                 Victor de               Carvalho
                                  Gennaro De Luca                                Gennaro De                   Luca
                         Athos de Oliveira Júnior                         Athos de Oliveira                 Júnior
                          Marieke van Drogenbroek                               Marieke van            Drogenbroek
                               C. A. Bhavani Devi                             C. A. Bhavani                   Devi
                                 Gert Jan Lebbink                                  Gert Jan                Lebbink
                                 Xavier De Le Rue                              Xavier De Le                    Rue
                                              May                                      None                    May
        Bertrand, Vicomte du Pontavice de Heussey         Bertrand, Vicomte du Pontavice de                Heussey
                           Carlos de Cárdenas Plá                        Carlos de Cárdenas                    Plá
                              Anke Jannie Landman                               Anke Jannie                Landman
                                  John W. Wofford                                   John W.                Wofford
                                 Yekta Yılmaz Gül                              Yekta Yılmaz                    Gül
                                      Enzo Le Fée                                   Enzo Le                    Fée
                                             Luan                                      None                   Luan
                           Constantijn van Daalen                           Constantijn van                 Daalen
                             Miguel Ángel Navarro                              Miguel Ángel                Navarro
                                Prudent De Bruyne                                Prudent De                 Bruyne
                                  Silvia de Tapia                                 Silvia de                  Tapia
                             Carlos Alberto Mayor                            Carlos Alberto                  Mayor
                                Leila Ben Youssef                                 Leila Ben                Youssef
                                       Bep du Mée                                    Bep du                    Mée
                                   Renato De Riva                                 Renato De                   Riva
                                 Pedro de Ciancio                                  Pedro de                Ciancio
                                Alison dos Santos                                Alison dos                 Santos
                              Angélica de Almeida                               Angélica de                Almeida
                               Pål Henning Hansen                               Pål Henning                 Hansen
                                            Hiser                                      None                  Hiser
                              Abdel Kader Morchid                               Abdel Kader                Morchid
                            Syed Ghulam Moinuddin                               Syed Ghulam              Moinuddin
                              Wendy Lian Williams                                Wendy Lian               Williams
                              Juan Antonio Orenga                              Juan Antonio                 Orenga
                       Karoline Offigstad Knotten                        Karoline Offigstad                Knotten
                                           Jansen                                      None                 Jansen
                                     Lee Chak Men                                  Lee Chak                    Men
                              Pasquale La Ragione                               Pasquale La                Ragione
                               Ernst van den Berg                             Ernst van den                   Berg
                          Majid Reza Simkhah Asil                        Majid Reza Simkhah                   Asil
                            José Leonardo Montaña                             José Leonardo                Montaña
                             Robert Van Zeebroeck                                Robert Van              Zeebroeck
                           Crina Violeta Serediuc                             Crina Violeta               Serediuc
                              Roger Noble Burnham                               Roger Noble                Burnham
                                Ernst Van Heerden                                 Ernst Van                Heerden
                              Makhlouf Ait Hocine                              Makhlouf Ait                 Hocine
                               Nguyễn Thành Ngưng                              Nguyễn Thành                  Ngưng
                              Claas Peter Fischer                               Claas Peter                Fischer
                                       Yang C. K.                                   Yang C.                     K.
                           Ferdinand de Schlatter                              Ferdinand de              Schlatter
                                 Giacomo Di Segni                                Giacomo Di                  Segni
                                     S. E. H. Ali                                  S. E. H.                    Ali
                               José Manuel Cabeça                               José Manuel                 Cabeça
                               Tor Helge Eikeland                                 Tor Helge               Eikeland
                                     J. C. Talcot                                     J. C.                 Talcot
                                Abdul Khalik Juad                              Abdul Khalik                   Juad
                                 Ronaldo da Costa                                Ronaldo da                  Costa
                               Joan Lino Martínez                                 Joan Lino               Martínez
                             Hamed Said Al-Khatri                                Hamed Said              Al-Khatri
                              Mohamed Aziz Samadi                              Mohamed Aziz                 Samadi
                           Carlos Andrés Bruderer                             Carlos Andrés               Bruderer
                             Annelise Damm Olesen                             Annelise Damm                 Olesen
                                     Wim van Heel                                   Wim van                   Heel
                             Willem, Baron Gevers                             Willem, Baron                 Gevers
                          Joseph Webster Golinkin                            Joseph Webster               Golinkin
                                     Bep de Waard                                    Bep de                  Waard
                              Michael de la Roche                             Michael de la                  Roche
                              João Manuel Paquito                               João Manuel                Paquito
                           Tarlochan Singh Channa                           Tarlochan Singh                 Channa
                             Trương Hoàng Mỹ Linh                           Trương Hoàng Mỹ                   Linh
                                          Angelim                                      None                Angelim
                              August Hermann Zeiz                            August Hermann                   Zeiz
                                Clarisse Le Bihan                               Clarisse Le                  Bihan
                              Gholam Reza Ghassab                               Gholam Reza                Ghassab
                            Sara Khoshjamal Fekri                           Sara Khoshjamal                  Fekri
                               Freek van der Wart                             Freek van der                   Wart
                                      Tee Jing Yi                                  Tee Jing                     Yi
                                      Tam Hoi Lam                                   Tam Hoi                    Lam
                                   Amor Ben Yahia                                  Amor Ben                  Yahia
                              Mubarak Faraj Bilal                             Mubarak Faraj                  Bilal
                               Svend Aage Thomsen                                Svend Aage                Thomsen
                                         Ellinger                                      None               Ellinger
                                      Chip Van Os                                  Chip Van                     Os
                           Jean Ruffier des Aimés                          Jean Ruffier des                  Aimés
                                Mira Verås Larsen                                Mira Verås                 Larsen
                             José Eugenio Vásquez                              José Eugenio                Vásquez
                        Harry, Ridder van Rappard                         Harry, Ridder van                Rappard
                        Salaheddine Bakar Al-Safi                         Salaheddine Bakar                Al-Safi
                          IXe Olympiade Amsterdam                             IXe Olympiade              Amsterdam
                                  Abdul Karim Amu                               Abdul Karim                    Amu
                                  Flávia de Faria                                 Flávia de                  Faria
                        Antonio Vázquez de Aldana                        Antonio Vázquez de                 Aldana
                                  Coby van Baalen                                  Coby van                 Baalen
                                 Hilbert Van Dijk                               Hilbert Van                   Dijk
                                            Grimm                                      None                  Grimm
                                            Paqui                                      None                  Paqui
                               Luis Ángel Sánchez                                Luis Ángel                Sánchez
                                Béla Zsitnik, Jr.                             Béla Zsitnik,                    Jr.
                                Gian Luigi Macina                                Gian Luigi                 Macina
                               Mads Mensah Larsen                               Mads Mensah                 Larsen
                            Noraseela Mohd Khalid                            Noraseela Mohd                 Khalid
                          Adrien, Duc de Noailles                            Adrien, Duc de               Noailles
                   Tonino, Marchese Brivio Sforza                   Tonino, Marchese Brivio                 Sforza
                                Jan Egil Storholt                                  Jan Egil               Storholt
                                Emma Beiter Bomme                               Emma Beiter                  Bomme
                             Mohammad Reza Bajool                             Mohammad Reza                 Bajool
                              Ana María Rodríguez                                 Ana María              Rodríguez
                           Hussain Jabbar Zadegan                            Hussain Jabbar                Zadegan
                             Paulien van Deutekom                               Paulien van               Deutekom
                                José Luis Koifman                                 José Luis                Koifman
                            Imène Cherif Sahraoui                              Imène Cherif               Sahraoui
                                         Malterre                                      None               Malterre
                                   Juan Del Campo                                  Juan Del                  Campo
                                   Erna E. Wetzel                                   Erna E.                 Wetzel
                                         Brissard                                      None               Brissard
                                           Calado                                      None                 Calado
                                Moshin Mirza Khan                              Moshin Mirza                   Khan
                           John Rungsted Sørensen                             John Rungsted               Sørensen
                              Nihel Cheikh Rouhou                              Nihel Cheikh                 Rouhou
                   Jeanne de Rademaecker-Eyckmans                                 Jeanne de   Rademaecker-Eyckmans
                             Jean, Comte De Madre                            Jean, Comte De                  Madre
                          María del Carmen Medina                          María del Carmen                 Medina
                               Carla Salomé Rocha                              Carla Salomé                  Rocha
                                  Thor Egil Olsen                                 Thor Egil                  Olsen
                                          Estella                                      None                Estella
                             Gerard van den Bergh                            Gerard van den                  Bergh
                                         Casemiro                                      None               Casemiro
                               Csaba Nagy Lakatos                                Csaba Nagy                Lakatos
                                             Milo                                      None                   Milo
                        Jan Willem van den Hondel                        Jan Willem van den                 Hondel
                              Fathia Ali Bouraleh                                Fathia Ali               Bouraleh
                             Håvard Solås Taugbøl                              Håvard Solås                Taugbøl
                                           Durand                                      None                 Durand
                                             Duda                                      None                   Duda
                          Helena Miagian Papilaya                            Helena Miagian               Papilaya
                                           Fardel                                      None                 Fardel
                             Chris Anker Sørensen                               Chris Anker               Sørensen
                                    Leo von König                                   Leo von                  König
                                         Cuchelet                                      None               Cuchelet
                                      A. J. Gough                                     A. J.                  Gough
                          Anjelina Nadai Lohalith                            Anjelina Nadai               Lohalith
                            Hussam El-Din Mustafa                             Hussam El-Din                Mustafa
                                       Guilloteau                                      None             Guilloteau
                           Cristian Mauro Soldano                            Cristian Mauro                Soldano
                                John Coulson, Jr.                             John Coulson,                    Jr.
                                Johan von Koskull                                 Johan von                Koskull
                                           Dubost                                      None                 Dubost
                                William von Wirén                               William von                  Wirén
                                 Anne Karin Dehle                                Anne Karin                  Dehle
                               Maruša Ferk Saioni                               Maruša Ferk                 Saioni
                         Mohamed El-Sayed Ramadan                          Mohamed El-Sayed                Ramadan
                                Paul Van Halteren                                  Paul Van               Halteren
                                 Leif Roar Falkum                                 Leif Roar                 Falkum
                                           Lebouc                                      None                 Lebouc
                            Anne-Marie Van Nuffel                            Anne-Marie Van                 Nuffel
                              Ibrahim Abdel Hamid                             Ibrahim Abdel                  Hamid
                                 Hosam Bakr Abdin                                Hosam Bakr                  Abdin
                                  Ahmed Sher Khan                                Ahmed Sher                   Khan
                                 Don Nielsen, Jr.                              Don Nielsen,                    Jr.
                                 Louis Van Parijs                                 Louis Van                 Parijs
                                            Mayla                                      None                  Mayla
                           Abdel Hamid El-Wassimy                               Abdel Hamid             El-Wassimy
                              George de Relwyskow                                 George de              Relwyskow
                                 Arturo De Vecchi                                 Arturo De                 Vecchi
                              Scarlett Mew Jensen                              Scarlett Mew                 Jensen
                                 Dieter Kalt, Jr.                              Dieter Kalt,                    Jr.
                                        Ed van Es                                    Ed van                     Es
                                José Manuel Ángel                               José Manuel                  Ángel
                                Victor De Knibber                                 Victor De                Knibber
                          Harisimran Singh Sandhu                          Harisimran Singh                 Sandhu
                                   Arnie Oss, Jr.                                Arnie Oss,                    Jr.
                               Abdel Halim Hassan                               Abdel Halim                 Hassan
                                 Wietse van Alten                                Wietse van                  Alten
                          Muriel van Schilfgaarde                                Muriel van           Schilfgaarde
                                  Pieter van Waas                                Pieter van                   Waas
                           Harry Lorenz Bjørnholm                              Harry Lorenz              Bjørnholm
                                Gennaro Di Napoli                                Gennaro Di                 Napoli
                                            Karen                                      None                  Karen
                             João Fernando Santos                             João Fernando                 Santos
                                Sylvio dos Santos                                Sylvio dos                 Santos
                            Julião Henriques Neto                          Julião Henriques                   Neto
                              Mohamed Abdel Rehim                             Mohamed Abdel                  Rehim
                                Serge Bengono, II                            Serge Bengono,                     II
                                 Rabiou Guero Gao                              Rabiou Guero                    Gao
                                      Richarlison                                      None            Richarlison
                                             Jaén                                      None                   Jaén
                           Marcus Fernaldi Gideon                           Marcus Fernaldi                 Gideon
                                   Henri Van Riel                                 Henri Van                   Riel
                               José Rodolfo Serpa                              José Rodolfo                  Serpa
                                           Gentel                                      None                 Gentel
                         Mohamed Said Abdel Wehab                        Mohamed Said Abdel                  Wehab
                                          Lemaire                                      None                Lemaire
                            Juan Antonio Compañón                              Juan Antonio               Compañón
                                            Larry                                      None                  Larry
                              Julio César Galofre                               Julio César                Galofre
                                Piet van der Kruk                              Piet van der                   Kruk
                           Tajinderpal Singh Toor                         Tajinderpal Singh                   Toor
                       Alexandra Simons de Ridder                       Alexandra Simons de                 Ridder
                           Mohamed Salah Marmouri                             Mohamed Salah               Marmouri
                                         Gazaigne                                      None               Gazaigne
                                   Marti ten Kate                                 Marti ten                   Kate
                                   Pui Fook Chien                                  Pui Fook                  Chien
                                    Tan Eng Liang                                   Tan Eng                  Liang
                              Arthur Nory Mariano                               Arthur Nory                Mariano
                               Marco Bruno Bodini                               Marco Bruno                 Bodini
                                Éric Pacôme N'Dri                               Éric Pacôme                  N'Dri
                                   Miguel De Toro                                 Miguel De                   Toro
                             Jan-Willem van Schip                            Jan-Willem van                  Schip
                          Fon, Marqués de Portago                           Fon, Marqués de                Portago
                              Luis Gregorio López                             Luis Gregorio                  López
                         Marie-Claire Van Stevens                          Marie-Claire Van                Stevens
                         João Francisco de Castro                         João Francisco de                 Castro
                           Jeanette van Ravestijn                              Jeanette van              Ravestijn
                             Ali Mabrouk El-Zaidi                               Ali Mabrouk               El-Zaidi
                               José Andrés Brenes                               José Andrés                 Brenes
                            John Stefanowicz, Jr.                         John Stefanowicz,                    Jr.
                                Diederik van Weel                              Diederik van                   Weel
                                           Gachet                                      None                 Gachet
                             Joseph Kaddu Kutfesa                              Joseph Kaddu                Kutfesa
                          Koukou Franck Amégnigan                             Koukou Franck              Amégnigan
                                   Frits de Voogt                                  Frits de                  Voogt
                                    Chee Swee Lee                                 Chee Swee                    Lee
                                     Tone Ng Shiu                                   Tone Ng                   Shiu
                                  Peter von Lerch                                 Peter von                  Lerch
                                 Jorge Zarif Neto                               Jorge Zarif                   Neto
                      María Fernanda de la Fuente                      María Fernanda de la                 Fuente
                                   Guy de Huertas                                    Guy de                Huertas
                                  Frouke van Beek                                Frouke van                   Beek
                                Prudencio de Pena                              Prudencio de                   Pena
                                          Larissa                                      None                Larissa
                                José María García                                José María                 García
                            Florina Sorina Hulpan                            Florina Sorina                 Hulpan
                              Lucky Willie Bhembe                              Lucky Willie                 Bhembe
                                    Hoàng Thị Hoà                                 Hoàng Thị                    Hoà
                                Claude Cuy y Mola                              Claude Cuy y                   Mola
                             Carl Alfred Pedersen                               Carl Alfred               Pedersen
                                   Carl von Moers                                  Carl von                  Moers
                                Abdel Latif Ahmed                               Abdel Latif                  Ahmed
                                         Belauste                                      None               Belauste
                           José Ricardo Rodrigues                              José Ricardo              Rodrigues
                                Bernardo San Juan                              Bernardo San                   Juan
                                   Joe Speer Ryan                                 Joe Speer                   Ryan
                              Carlos José Retegui                               Carlos José                Retegui
                             Francesco La Macchia                              Francesco La                Macchia
                                 Iraj Kia Rostami                                  Iraj Kia                Rostami
                                  Chiang Wai Hung                                Chiang Wai                   Hung
                                           Falcão                                      None                 Falcão
                          Georges Hellebuyck, Jr.                       Georges Hellebuyck,                    Jr.
                              José Roberto Aranha                              José Roberto                 Aranha
                                  Thio Him Tjiang                                  Thio Him                 Tjiang
                                     Jan van Dort                                   Jan van                   Dort
                                  Pedro de Heeren                                  Pedro de                 Heeren
                                 Marcus la Grange                                 Marcus la                 Grange
                                   Nguyễn Ðình Lê                               Nguyễn Ðình                     Lê
                               Ahmed Fouad Nessim                               Ahmed Fouad                 Nessim
                          Ángel Corsino Fernández                             Ángel Corsino              Fernández
                           Javier Sánchez Vicario                            Javier Sánchez                Vicario
                             José Antonio Casilla                              José Antonio                Casilla
                            Herman Van Den Broeck                            Herman Van Den                 Broeck
                                 Silina Pha Aphay                                Silina Pha                  Aphay
                                Jules De Bisschop                                  Jules De               Bisschop
                             Arne Morten Granlien                               Arne Morten               Granlien
                           Mauricio, Duque de Gor                        Mauricio, Duque de                    Gor
                            Juan Pablo Valdivieso                                Juan Pablo             Valdivieso
                               Luciana dos Santos                               Luciana dos                 Santos
                                  Arthur J. Blake                                 Arthur J.                  Blake
                                 Dylan van Baarle                                 Dylan van                 Baarle
                             Isidoor Van De Wiele                            Isidoor Van De                  Wiele
                                  Luiz dos Santos                                  Luiz dos                 Santos
                           Bernardo de la Guardia                            Bernardo de la                Guardia
                                 José João Soares                                 José João                 Soares
                                            Tainá                                      None                  Tainá
                            Mohammad Rahim Rahimi                            Mohammad Rahim                 Rahimi
                                   Ramiro de León                                 Ramiro de                   León
                                 Angelo Di Castro                                 Angelo Di                 Castro
                                           Guerra                                      None                 Guerra
                              Michel De Saedeleer                                 Michel De              Saedeleer
                           Steen Steensen Blicher                            Steen Steensen                Blicher
                                           Rafael                                      None                 Rafael
                                Kamiel Van Dooren                                Kamiel Van                 Dooren
                             Dattu Baban Bhokanal                               Dattu Baban               Bhokanal
                                             Nino                                      None                   Nino
                                Wibo van Lieshout                                  Wibo van               Lieshout
                                  Kenny De Ketele                                  Kenny De                 Ketele
                                         Humberto                                      None               Humberto
                                         Hellmann                                      None               Hellmann
                                    You Chin Hong                                  You Chin                   Hong
                              Mohamed Abdel Hafiz                             Mohamed Abdel                  Hafiz
                                 Gianni Del Buono                                Gianni Del                  Buono
                              Tariq Ahmed Al-Amri                               Tariq Ahmed                Al-Amri
                                           Careca                                      None                 Careca
                            Freydoun Malcolm Khan                          Freydoun Malcolm                   Khan
                                Walter Paul Dürst                               Walter Paul                  Dürst
                           Hussain Taher Al-Sabee                             Hussain Taher               Al-Sabee
                            Irene van der Reijken                             Irene van der                Reijken
                        Niels Christian Jørgensen                           Niels Christian              Jørgensen
                              José Carlos de Lima                            José Carlos de                   Lima
                                            Ségur                                      None                  Ségur
                           Ibrahim Mahmoud Tawfik                           Ibrahim Mahmoud                 Tawfik
                                        Monjardín                                      None              Monjardín
                         Mohandas Liyanage Sumith                         Mohandas Liyanage                 Sumith
                              José Gregorio Neira                             José Gregorio                  Neira
                              José Miguel Huacuja                               José Miguel                Huacuja
                             José Joaquim Cancela                              José Joaquim                Cancela
                         Cayetano, Duque Martínez                           Cayetano, Duque               Martínez
                                          Deepika                                      None                Deepika
                           Chiara Masini Luccetti                             Chiara Masini               Luccetti
              Hans, Baron von Blixen-Finecke, Jr.           Hans, Baron von Blixen-Finecke,                    Jr.
                                 José Luis Blanco                                 José Luis                 Blanco
                                Ashok Kumar Karki                               Ashok Kumar                  Karki
                               Walter Delle Karth                              Walter Delle                  Karth
                                            Jaque                                      None                  Jaque
                                Mairaj Ahmad Khan                              Mairaj Ahmad                   Khan
                             Louis Napoléon Murat                            Louis Napoléon                  Murat
                       Gian Ferdinando Tommaselli                           Gian Ferdinando             Tommaselli
                                            DePoe                                      None                  DePoe
                                 Faycal Ben Amara                                Faycal Ben                  Amara
                                        Bernillon                                      None              Bernillon
                               José Sobral Júnior                               José Sobral                 Júnior
                           Ony Paule Ratsimbazafy                                 Ony Paule           Ratsimbazafy
                       Alejandro Ariel Montecchia                           Alejandro Ariel             Montecchia
                          Karin Clashing O'Reilly                            Karin Clashing               O'Reilly
                                  Ali Reza Rezaei                                  Ali Reza                 Rezaei
                               José Gregorio Peña                             José Gregorio                   Peña
                 Joëlle van Koetsveld-van Ankeren                  Joëlle van Koetsveld-van                Ankeren
                                 Nathalie Lee Baw                              Nathalie Lee                    Baw
                                           Iziane                                      None                 Iziane
                        Alexander von der Groeben                         Alexander von der                Groeben
                                John Amabile, Jr.                             John Amabile,                    Jr.
                                Ana Marcela Cunha                               Ana Marcela                  Cunha
                               José Luis Quiñones                                 José Luis               Quiñones
                             Abdel Kader Belghiti                               Abdel Kader               Belghiti
                                 Dieter Kalt, Sr.                              Dieter Kalt,                    Sr.
                                         Idígoras                                      None               Idígoras
                            Steffi von Siebenthal                                Steffi von             Siebenthal
                             Mohamed Abdul Rahman                             Mohamed Abdul                 Rahman
                                             Codó                                      None                   Codó
                                 Mariano de María                                Mariano de                  María
                                  Nicolas Le Goff                                Nicolas Le                   Goff
                            Iqbaljit Singh Grewal                            Iqbaljit Singh                 Grewal
                                   W. A. Williams                                     W. A.               Williams
                         Abdel Khlik Abou El-Yazi                          Abdel Khlik Abou                El-Yazi
                                    Lâm Văn Hoành                                   Lâm Văn                  Hoành
                                Grace Ann Dinkins                                 Grace Ann                Dinkins
                                          L'homme                                      None                L'homme
                             Ángel Segundo Médici                             Ángel Segundo                 Médici
                           Børge Raahauge Nielsen                            Børge Raahauge                Nielsen
                                 Terap Adoum Yaya                               Terap Adoum                   Yaya
                                     Fons De Wolf                                   Fons De                   Wolf
                               Poul Erik Petersen                                 Poul Erik               Petersen
                                Tijini Ben Kassou                                Tijini Ben                 Kassou
                             Auguste Van De Verre                            Auguste Van De                  Verre
                               José Oswaldo Calel                              José Oswaldo                  Calel
                             Carl Heinrich Goßler                             Carl Heinrich                 Goßler
                                         Desutter                                      None               Desutter
